Timestamp,Source IP,Destination IP,Query,Query Type,Query Class,Response Code
1722268168.304964,192.168.1.200,192.168.1.1,api.reasonsecurity.com.,1,1,
1722268168.31813,192.168.1.1,192.168.1.200,api.reasonsecurity.com.,1,1,
1722268171.657972,192.168.1.200,192.168.1.1,wpad.communityfibre.co.uk.,1,1,
1722268171.65832,192.168.1.200,192.168.1.1,wpad.communityfibre.co.uk.,28,1,
1722268171.663481,192.168.1.1,192.168.1.200,wpad.communityfibre.co.uk.,1,1,
1722268171.663481,192.168.1.1,192.168.1.200,wpad.communityfibre.co.uk.,28,1,
1722268171.748457,192.168.1.200,192.168.1.1,wpad.cust.communityfibre.co.uk.,1,1,
1722268171.748642,192.168.1.200,192.168.1.1,wpad.cust.communityfibre.co.uk.,28,1,
1722268171.754585,192.168.1.1,192.168.1.200,wpad.cust.communityfibre.co.uk.,1,1,
1722268171.754585,192.168.1.1,192.168.1.200,wpad.cust.communityfibre.co.uk.,28,1,
1722268172.074711,192.168.1.200,192.168.1.1,analytics.apis.mcafee.com.,1,1,
1722268172.074889,192.168.1.200,192.168.1.1,analytics.apis.mcafee.com.,28,1,
1722268172.088133,192.168.1.1,192.168.1.200,analytics.apis.mcafee.com.,1,1,
1722268172.08825,192.168.1.1,192.168.1.200,analytics.apis.mcafee.com.,28,1,
1722268172.115048,192.168.1.200,192.168.1.1,analytics.apis.mcafee.com.,28,1,
1722268172.120194,192.168.1.1,192.168.1.200,analytics.apis.mcafee.com.,28,1,
1722268176.589134,192.168.1.200,192.168.1.1,einstein-core.awscommon.mcafee.com.,1,1,
1722268176.589804,192.168.1.200,192.168.1.1,einstein-core.awscommon.mcafee.com.,28,1,
1722268176.595602,192.168.1.1,192.168.1.200,einstein-core.awscommon.mcafee.com.,1,1,
1722268176.595602,192.168.1.1,192.168.1.200,einstein-core.awscommon.mcafee.com.,28,1,
1722268176.608102,192.168.1.200,192.168.1.1,b-ring.msedge.net.,1,1,
1722268176.608477,192.168.1.200,192.168.1.1,b-ring.msedge.net.,28,1,
1722268176.616149,192.168.1.1,192.168.1.200,b-ring.msedge.net.,1,1,
