Timestamp,Source IP,Destination IP,Query,Query Type,Query Class,Response Code
1720703402.275304,192.168.1.11,192.168.1.1,drive.google.com.,28,1,
1720703402.275745,192.168.1.11,192.168.1.1,drive.google.com.,1,1,
1720703402.275917,192.168.1.11,192.168.1.1,drive.google.com.,65,1,
1720703402.276207,192.168.1.11,192.168.1.1,apis.google.com.,28,1,
1720703402.276383,192.168.1.11,192.168.1.1,apis.google.com.,1,1,
1720703402.276554,192.168.1.11,192.168.1.1,apis.google.com.,65,1,
1720703402.276767,192.168.1.11,192.168.1.1,fonts.gstatic.com.,28,1,
1720703402.276933,192.168.1.11,192.168.1.1,fonts.gstatic.com.,1,1,
1720703402.277116,192.168.1.11,192.168.1.1,fonts.gstatic.com.,65,1,
1720703402.285594,192.168.1.1,192.168.1.11,drive.google.com.,28,1,
1720703402.285799,192.168.1.1,192.168.1.11,drive.google.com.,1,1,
1720703402.286194,192.168.1.1,192.168.1.11,apis.google.com.,28,1,
1720703402.286494,192.168.1.1,192.168.1.11,apis.google.com.,1,1,
1720703402.286704,192.168.1.1,192.168.1.11,apis.google.com.,65,1,
1720703402.286996,192.168.1.1,192.168.1.11,fonts.gstatic.com.,28,1,
1720703402.287223,192.168.1.1,192.168.1.11,fonts.gstatic.com.,1,1,
1720703402.296102,192.168.1.11,192.168.1.1,fonts.googleapis.com.,28,1,
1720703402.296389,192.168.1.11,192.168.1.1,fonts.googleapis.com.,1,1,
1720703402.296508,192.168.1.11,192.168.1.1,fonts.googleapis.com.,65,1,
1720703402.297884,192.168.1.1,192.168.1.11,drive.google.com.,65,1,
1720703402.297909,192.168.1.11,192.168.1.1,drive.google.com.,65,1,
1720703402.300313,192.168.1.1,192.168.1.11,fonts.gstatic.com.,65,1,
1720703402.306808,192.168.1.1,192.168.1.11,fonts.googleapis.com.,28,1,
1720703402.306808,192.168.1.1,192.168.1.11,fonts.googleapis.com.,1,1,
1720703402.311608,192.168.1.11,192.168.1.1,www.gstatic.com.,28,1,
1720703402.312082,192.168.1.11,192.168.1.1,www.gstatic.com.,1,1,
1720703402.312204,192.168.1.11,192.168.1.1,www.gstatic.com.,65,1,
1720703402.318901,192.168.1.1,192.168.1.11,fonts.googleapis.com.,65,1,
1720703402.321653,192.168.1.1,192.168.1.11,www.gstatic.com.,28,1,
1720703402.32203,192.168.1.1,192.168.1.11,www.gstatic.com.,1,1,
1720703402.333589,192.168.1.1,192.168.1.11,www.gstatic.com.,65,1,
1720703403.028793,192.168.1.11,192.168.1.1,lh3.google.com.,28,1,
1720703403.029169,192.168.1.11,192.168.1.1,lh3.google.com.,1,1,
1720703403.029384,192.168.1.11,192.168.1.1,lh3.google.com.,65,1,
1720703403.039181,192.168.1.1,192.168.1.11,lh3.google.com.,28,1,
1720703403.039275,192.168.1.1,192.168.1.11,lh3.google.com.,1,1,
1720703403.039309,192.168.1.1,192.168.1.11,lh3.google.com.,65,1,
1720703403.203016,192.168.1.11,192.168.1.1,lh3.googleusercontent.com.,28,1,
1720703403.20351,192.168.1.11,192.168.1.1,lh3.googleusercontent.com.,1,1,
1720703403.203843,192.168.1.11,192.168.1.1,lh3.googleusercontent.com.,65,1,
1720703403.213849,192.168.1.1,192.168.1.11,lh3.googleusercontent.com.,28,1,
1720703403.213916,192.168.1.1,192.168.1.11,lh3.googleusercontent.com.,1,1,
1720703403.213916,192.168.1.1,192.168.1.11,lh3.googleusercontent.com.,65,1,
1720703403.285506,192.168.1.11,192.168.1.1,colab.research.google.com.,28,1,
1720703403.285886,192.168.1.11,192.168.1.1,colab.research.google.com.,1,1,
1720703403.286212,192.168.1.11,192.168.1.1,colab.research.google.com.,65,1,
1720703403.299857,192.168.1.1,192.168.1.11,colab.research.google.com.,28,1,
1720703403.299857,192.168.1.1,192.168.1.11,colab.research.google.com.,1,1,
1720703403.299998,192.168.1.1,192.168.1.11,colab.research.google.com.,65,1,
1720703403.556895,192.168.1.11,192.168.1.1,www.google-analytics.com.,28,1,
1720703403.557429,192.168.1.11,192.168.1.1,www.google-analytics.com.,1,1,
1720703403.557744,192.168.1.11,192.168.1.1,www.google-analytics.com.,65,1,
1720703403.567049,192.168.1.1,192.168.1.11,www.google-analytics.com.,28,1,
1720703403.567344,192.168.1.1,192.168.1.11,www.google-analytics.com.,1,1,
1720703403.567696,192.168.1.1,192.168.1.11,www.google-analytics.com.,65,1,
1720703403.796557,192.168.1.11,192.168.1.1,clients6.google.com.,28,1,
1720703403.797106,192.168.1.11,192.168.1.1,clients6.google.com.,1,1,
1720703403.79742,192.168.1.11,192.168.1.1,clients6.google.com.,65,1,
1720703403.805937,192.168.1.1,192.168.1.11,clients6.google.com.,28,1,
1720703403.81262,192.168.1.1,192.168.1.11,clients6.google.com.,1,1,
1720703403.81262,192.168.1.1,192.168.1.11,clients6.google.com.,65,1,
1720703403.926215,192.168.1.11,192.168.1.1,drivefrontend-pa.clients6.google.com.,28,1,
1720703403.926655,192.168.1.11,192.168.1.1,drivefrontend-pa.clients6.google.com.,1,1,
1720703403.927012,192.168.1.11,192.168.1.1,drivefrontend-pa.clients6.google.com.,65,1,
1720703403.937865,192.168.1.1,192.168.1.11,drivefrontend-pa.clients6.google.com.,28,1,
1720703403.938129,192.168.1.1,192.168.1.11,drivefrontend-pa.clients6.google.com.,1,1,
1720703403.955317,192.168.1.1,192.168.1.11,drivefrontend-pa.clients6.google.com.,65,1,
1720703403.955385,192.168.1.11,192.168.1.1,drivefrontend-pa.clients6.google.com.,65,1,
1720703404.677987,192.168.1.11,192.168.1.1,people-pa.clients6.google.com.,28,1,
1720703404.678461,192.168.1.11,192.168.1.1,people-pa.clients6.google.com.,1,1,
1720703404.6789,192.168.1.11,192.168.1.1,people-pa.clients6.google.com.,65,1,
